,
1933018,6
1933050,4
1933023,4
1933010,3
1933042,4
1933001,4
1933051,3
1933028,2
1933056,3
1933059,0
,
1927088,7
1933040,6
1933007,5
1933012,4
1927054,5
1933026,2
1933032,2
1927025,2
1927002,2
1933057,0
,
1932010,5
1932044,7
1927063,7
1927087,7
1927065,5
1927001,6
1927085,5
1927052,5
1932063,1
1927008,1
,
1932047,5
1932043,3
1932009,2
1932067,4
1932036,2
1932079,4
1920067,1
1932069,0
1932022,1
1932078,2
,
1920064,5
1919037,4
1920061,1
1919058,3
1920070,3
1920026,2
1920036,1
1920054,0
1920013,0
71920053,2
,
71919046,4
1914020,3
1914042,3
1914041,1
1932031,1
1914016,1
1914017,3
1914045,2
1914028,2
1914039,2
