1115063,110191,1115063,0
1115072,110191,1115072,0
1115049,110191,1115049,0
1115051,110191,1115051,0
1115006,110191,1115006,0
1100591,110191,1100591,0
1115012,110192,1115012,0
1115077,110192,1115077,0
1115003,110192,1115003,0
1115023,110192,1115023,0
1115057,110192,1115057,0
1100592,110192,1100592,0
1115074,110193,1115074,0
1115030,110193,1115030,0
1115059,110193,1115059,0
1115040,110193,1115040,0
1115071,110193,1115071,0
1115065,110193,1115065,0
1124025,110194,1124025,0
1124014,110194,1124014,0
1124011,110194,1124011,0
1124021,110194,1124021,0
1124003,110194,1124003,0
1100594,110194,1100594,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
