,
91013013,2
91013014,0
91013007,3
91013026,1
91013038,0
91013004,0
91013053,1
91013063,0
91013006,1
91013040,1
,
91028091,4
91028074,3
91028011,2
91028048,1
91028013,2
91028007,1
91028043,1
91028001,0
91028018,0
91028045,1
,
91010027,1
91010048,4
91010046,2
91010026,2
91010057,3
91010004,1
91010002,2
91010033,0
91010054,0
91010060,0
,
91028005,5
91022021,4
91022042,4
91022050,4
91028047,3
91022029,2
91022015,2
91022006,2
91022058,2
91022007,0
,
91028035,6
91028023,5
91028060,5
91028033,4
91028025,4
91028061,4
91028071,4
91028019,3
91028059,2
91028026,0
,
91010007,3
91010015,2
91010017,2
91010030,2
91010051,2
91010023,1
91010099,1
91010031,1
91010058,1
91010005,1
,
91022017,4
91022001,2
91022037,2
91022047,2
91022049,2
91022043,2
91022051,1
91022055,2
91010040,1
91022032,0
,
91013074,4
91013019,5
91013050,3
91013046,3
91013033,6
91013059,4
91013051,6
91013060,3
91013034,2
91013054,2
91013062,0
,
