1,990141,1
2,990142,2
3,990143,3
4,990144,4
5,990151,5
6,990152,6
7,990153,7
8,990154,8
9,990155,9
10,990156,10
11,990157,11
12,990158,12
13,990161,13
14,990162,14
15,990163,15
16,990164,16
17,990165,17
18,990166,18
19,990167,19
20,990161,20
21,990162,21
22,990163,22
23,990164,23
24,990165,24
25,990166,25
26,990167,26
27,990251,27
28,990252,28
29,990253,29
30,990254,30
31,990255,31
32,990256,32
33,990257,33
34,990258,34
35,990261,35
36,990262,36
37,990263,37
38,990264,38
39,990265,39
40,990266,40
41,990267,41
42,990261,42
43,990262,43
44,990263,44
45,990264,45
46,990265,46
47,990266,47
48,990267,48
49,100171,49
50,100172,50
51,100173,51
52,100174,52
53,100181,53
54,100182,54
55,100183,55
56,100184,56
57,100191,57
58,100192,58
59,100193,59
60,100194,60
61,100195,61
62,100211,62
63,100212,63
64,100213,64
65,100214,65
66,100215,66
67,100271,67
68,100272,68
69,100273,69
70,100274,70
71,109181,71
72,109182,72
73,109183,73
74,109184,74
75,110101,75
76,110201,76
77,110211,77
78,110221,78
79,110271,79
80,110181,80
81,120181,81
82,120101,82
83,120201,83
84,120211,84
85,120221,85
86,120271,86
87,129181,87
88,130181,88
89,130101,89
90,130201,90
91,130211,91
92,130221,92
93,130271,93
94,139181,94
95,150181,95
96,150101,96
97,150201,97
98,150211,98
99,150221,99
100,150271,100
101,159181,101
102,160181,102
103,160101,103
104,160201,104
105,160211,105
106,160221,106
107,160271,107
108,169181,108
109,170171,109
110,170172,110
111,170181,111
112,170182,112
113,170191,113
114,170192,114
115,170201,115
116,170202,116
117,170211,117
118,170271,118
119,170272,119
120,179181,120
121,179182,121
122,180171,122
123,180181,123
124,180191,124
125,180201,125
126,180211,126
127,180221,127
128,180271,128
129,189181,129
130,190171,130
131,190172,131
132,190173,132
133,190174,133
134,190181,134
135,190182,135
136,190183,136
137,190184,137
138,190101,138
139,190102,139
140,190103,140
141,190104,141
142,190201,142
143,190202,143
144,190203,144
145,190204,145
146,190211,146
147,190212,147
148,190213,148
149,190214,149
150,190215,150
151,190271,151
152,190272,152
153,190273,153
154,190274,154
155,199181,155
156,199182,156
157,199183,157
158,199184,158
159,199191,0
160,199192,0
161,199193,0
162,199194,0
163,199201,0
164,199202,0
165,199203,0
166,199204,0
167,200171,252
168,200172,254
169,200173,235
170,200174,250
171,200181,204
172,200182,258
173,200183,251
174,200184,242
175,200191,200
176,200192,242
177,200193,228
178,200194,226
179,200201,165
180,200202,200
181,200203,196
182,200204,227
183,200211,201
184,200212,260
185,200213,250
186,200214,249
187,200215,199
188,200216,172
189,200217,192
190,200271,231
191,200272,234
192,200273,230
193,200274,236
194,209181,61
195,209182,187
196,209183,230
197,209184,229
198,209191,6
199,209192,0
200,209193,0
201,209194,0
202,209201,0
203,209202,0
204,209203,0
205,209204,0
206,210181,0
207,210101,0
208,210201,0
209,210211,0
210,210221,0
211,210271,0
212,210181,0
213,220181,0
214,220101,0
215,220201,0
216,220211,0
217,220221,0
218,220271,0
219,229181,0
