,,,,
1013018,2,26,2,0
1013009,3,25,1,2
1027055,1,21,1,2
1013012,3,13,1,2
1013068,3,11,0,3
1013015,1,9,0,1
,,,,
1028022,4,32,4,0
1013023,6,30,5,1
1013056,4,28,2,2
1013025,1,9,1,0
1028002,2,6,0,2
1013001,2,2,0,2
,,,,
1013069,4,32,4,0
1013057,6,30,4,2
1013058,4,24,2,2
1013028,4,20,1,3
1013017,5,13,1,4
1013008,0,8,0,0
,,,,
1028052,6,38,5,1
1028042,3,31,2,1
1028081,2,22,1,1
1028046,4,20,2,2
1028064,1,6,0,2
1028017,3,5,0,3
,,,,
1010025,2,26,2,0
1010056,2,26,2,0
1010006,2,22,2,0
1010066,2,14,0,2
1010028,4,12,1,3
1010032,1,5,0,1
,,,,
1022009,4,36,4,0
1022040,5,25,3,2
1022030,3,23,2,1
1022013,0,20,1,1
1028034,6,14,2,4
71028026,0,8,0,0
,,,,
1028070,3,23,3,0
1028049,2,22,1,1
1010053,4,20,3,1
1010042,2,6,0,2
1028008,2,6,0,2
1028065,0,0,0,0
