,,,,
1013038,3,35,1,2
1013013,5,33,2,3
1013063,3,31,2,1
1013007,6,30,3,3
1013014,2,22,0,2
1013004,5,21,1,4
1013053,1,21,1,0
1013040,2,10,0,2
1013006,2,10,0,2
1013026,5,9,1,4
,,,,
1028007,4,44,4,0
1028091,7,31,5,2
1028074,3,27,1,2
1028043,5,25,2,3
1028013,4,24,2,2
1028048,2,18,1,1
1028011,4,16,2,2
1028001,2,14,1,1
1028045,1,9,0,1
1028018,1,1,0,1
,,,,
1010048,5,39,5,0
1010004,7,31,5,2
1010046,5,29,2,3
1010026,3,27,2,1
1010033,4,24,3,1
1010057,2,18,0,2
1010060,0,14,0,0
1010054,0,12,0,0
1010002,2,10,0,2
1010027,4,8,0,4
,,,,
1022042,9,53,9,0
1028005,5,41,4,1
1022006,8,36,4,4
1022029,5,33,4,1
1028047,5,31,3,2
1022050,6,28,3,3
1022058,3,23,2,1
1022021,5,21,3,2
1022015,3,15,2,1
1022007,-36,-36,0,0
,,,,
1028025,8,42,6,2
1028035,7,39,4,3
1028023,4,38,4,0
1028033,6,36,5,1
1028060,5,33,4,1
1028071,3,21,2,1
1028019,4,20,2,2
1028061,3,19,3,0
1028059,5,17,2,3
1028026,-36,-36,0,0
,,,,
1010007,6,34,5,1
1010030,3,29,2,1
1010058,3,27,2,1
1010051,2,24,0,2
1010023,2,22,2,0
1010099,4,20,2,2
1010005,2,18,1,1
1010031,4,16,1,3
1010015,2,14,1,1
1010017,1,1,0,1
,,,,
1022049,4,40,4,0
1022001,5,37,4,1
1022051,2,26,1,1
1022055,5,25,2,3
1022047,3,23,1,2
1022017,6,22,2,4
1022037,3,19,0,3
1022043,4,16,1,3
1010040,5,13,2,3
1022032,2,2,0,2
,,,,
1013059,3,35,2,1
1013046,3,31,3,0
1013074,2,30,1,1
1013033,5,29,3,2
1013051,3,27,1,2
1013050,5,25,3,2
1013034,3,19,0,3
1013060,1,17,1,0
1013019,5,17,2,3
1013054,2,4,0,2
1013062,-1,3,0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
