,,,,
2034095,3,35,2,1
2034091,3,31,3,0
2026094,3,31,3,0
2026027,5,29,3,2
2026089,4,24,1,3
2026096,3,19,1,2
2034096,5,13,1,4
2034094,-6,-6,0,0
,,,,
2026019,3,27,2,1
2026070,1,25,1,0
2035027,4,24,3,1
2026100,2,22,1,1
2026092,3,11,1,2
2035005,2,10,1,1
2035071,1,-1,0,1
,,,,
2026095,8,44,8,0
2029185,5,33,4,1
2035052,6,26,4,2
2026099,3,23,2,1
2026079,3,15,2,1
2026069,2,14,2,0
2035043,-28,-28,0,0
,,,,
2012033,5,45,5,0
2012060,5,29,4,1
2012013,2,26,1,1
2012057,3,19,1,2
2012039,2,18,2,0
2012022,3,15,1,2
2012029,2,10,0,2
2012006,-1,-2,0,0
,,,,
2012016,4,32,4,0
2012005,3,31,2,1
2012058,5,29,1,4
2029012,3,27,3,0
2029110,1,21,0,1
2012023,4,12,1,3
2029105,3,11,1,2
2029175,-2,-4,0,0
,,,,
2029191,5,29,5,0
2029082,3,19,3,0
2029056,2,14,1,1
2029063,0,8,0,0
2029188,2,6,0,2
2029015,3,3,0,3
,,,,
2029193,3,35,3,0
2029119,5,31,3,2
2029125,3,25,1,2
2029102,3,19,1,2
2912034,5,19,3,2
2029075,2,14,1,1
2029141,4,12,0,4
2029173,-2,2,0,0
