US Nafarroa,1919046,25,5,5,0,0,178,100,78,3,0,3
AS Soustons,1919057,18,4,4,0,0,98,54,44,0,0,0
Peyrehorade Sports,1919040,17,4,3,1,0,89,54,35,1,0,1
U Ath Gujan Mestras,1920029,16,4,3,0,1,152,96,56,2,0,2
US Salles,1920063,16,4,3,0,1,119,72,47,1,1,2
Boucau Tarnos Stade,1919010,14,4,3,0,1,94,76,18,0,0,0
St Medard En Jalles RC,1920060,11,6,2,0,4,109,159,-50,0,1,1
Stade Hendayais,1919020,10,4,2,0,2,72,76,-4,0,0,0
US Mouguerre,1919035,9,4,1,0,3,77,74,3,0,3,3
St Paul Sports Rugby,1919050,4,5,0,1,4,51,124,-73,0,0,0
SA Hagetmautien,1919018,3,4,0,0,4,88,129,-41,0,1,1
US Orthez,1919039,3,6,0,0,6,86,199,-113,0,1,1
CA Lormont Hauts de Garonne,1920043,27,6,6,0,0,132,90,42,1,0,1
Us Bergeracoise Vallee Dordogne,2032004,26,5,5,0,0,133,57,76,4,0,4
Sporting Club Tulle Correze,1927066,20,5,4,0,1,97,72,25,1,1,2
Union Barbezieux Jonzac,1933004,17,6,3,0,3,129,126,3,1,2,3
CA Sarladais Perigord Noir,1932058,16,5,3,0,2,112,94,18,0,2,2
Stade Belvesois,1932003,13,5,2,0,3,109,113,-4,0,3,3
Rugby Causse Vezere,1927076,12,5,2,0,3,96,99,-3,0,2,2
E V Malemort Brive Olympique,1927035,11,6,2,0,4,105,133,-28,0,1,1
JA Isle Rugby,1927023,10,5,1,1,3,86,116,-30,0,2,2
RC Arpajon Veinazes,1927004,9,4,1,1,2,76,86,-10,0,1,1
AS St Junien,1927053,7,5,1,0,4,79,142,-63,0,1,1
Association Rugby Club Du Pays de St Yrieix,1927058,6,5,0,0,5,85,111,-26,0,4,4
