,,,,
2131029,11,67,10,1
1725060,8,56,4,4
1725042,7,55,4,3
1725158,10,54,6,4
1830030,9,53,5,4
1216023,2,42,1,1
1317056,6,34,3,3
2131014,5,33,1,4
1725138,5,33,2,3
1933034,6,22,0,6
1725046,1,21,1,0
1725020,1,17,0,1
,,,,
1725135,9,63,6,3
1317044,6,60,5,1
1725109,8,54,4,4
1725146,7,49,5,2
1317008,7,47,5,2
1124009,4,46,2,2
1115032,7,45,4,3
1124018,4,34,1,3
1115070,5,31,2,3
1725003,4,22,0,4
1511017,2,14,0,2
1725139,2,14,0,2
,,,,
1028082,7,59,4,3
1010003,6,58,4,2
1028069,5,57,3,2
1028036,5,43,2,3
1028044,12,40,5,7
1010014,5,39,1,4
1028055,2,38,2,0
1010034,5,37,1,4
1028039,4,32,0,4
1013020,3,27,1,2
1013065,6,22,1,5
1124019,7,19,1,6
,,,,
2221015,6,58,5,1
1022002,5,57,2,3
1022041,9,55,6,3
2221007,11,55,8,3
1022031,7,51,4,3
1010059,2,48,1,1
2221025,7,39,3,4
1022045,4,28,0,4
1010041,7,27,1,6
1022005,6,24,0,6
1010044,7,23,1,6
1022027,1,13,0,1
,,,,
2026025,4,60,3,1
2026001,6,58,3,3
2035002,8,54,3,5
2026012,4,48,1,3
2029049,5,47,3,2
2029086,6,46,3,3
2035028,5,37,1,4
2029079,5,37,1,4
2029021,11,23,1,10
1927004,2,20,0,2
2029135,8,20,0,8
2029103,6,18,1,5
,,,,
2012042,9,65,7,2
2029008,9,49,5,4
2029127,8,48,3,5
1932025,3,47,3,0
2012032,6,40,0,6
2029009,5,37,0,5
2014029,3,35,1,2
1914031,3,35,0,3
2029167,7,35,1,6
2029120,8,34,2,6
2012028,7,33,1,6
1914027,5,27,1,4
,,,,
1920063,8,64,5,3
1920060,11,59,6,5
1920029,6,58,4,2
1919057,7,53,2,5
1919035,7,47,3,4
1919010,5,47,3,2
1920043,7,43,2,5
1914002,4,36,1,3
1919050,7,29,2,5
1919018,2,26,1,1
1919020,4,18,0,4
1919039,4,16,0,4
,,,,
1932058,11,79,11,0
2032004,6,66,6,0
1933004,7,51,4,3
1927076,7,43,1,6
1933036,5,39,2,3
1933048,10,38,5,5
1927035,4,36,2,2
1927066,7,31,1,6
1932003,4,28,1,3
1927058,3,27,0,3
1927023,3,23,0,3
1927053,2,18,0,4
,,,,
