,,,,
91725152,5,37,4,1
91725173,5,33,5,0
91830011,4,28,3,1
91725066,2,26,1,1
91725141,6,22,3,3
91830018,4,20,3,1
91830025,0,8,1,1
91830036,1,7,0,1
91830014,-1,3,0,1
,,,,
91725184,4,46,4,0
91725185,6,38,4,2
91623002,8,36,6,2
91725051,4,28,3,1
91725019,4,20,2,2
91623042,3,19,1,2
91623005,3,19,1,2
91623046,0,16,1,1
91623051,4,14,0,4
91725038,3,11,0,3
,,,,
91115025,3,31,3,0
91511030,5,29,3,2
91511004,4,28,3,1
91511011,4,28,2,2
91511055,4,26,2,2
91124010,2,20,1,1
91511009,1,13,1,0
91124004,4,6,0,4
91124022,1,1,0,1
,,,,
91028091,8,44,8,0
91028062,5,33,5,0
91115021,3,31,3,0
91115009,5,21,3,2
91028038,1,17,0,1
91028006,3,15,2,1
91115007,-1,11,0,1
91115062,2,6,1,1
91028027,2,0,0,2
,,,,
91013031,2,38,1,1
91028056,3,37,1,2
91028004,7,27,3,4
91028053,7,27,2,5
91028054,2,26,1,1
91028032,4,24,1,3
91010001,4,24,1,3
91028003,5,19,1,4
91028072,4,16,1,3
91028028,1,5,0,1
,,,,
92234029,9,45,9,0
91022035,8,40,7,1
91010035,3,27,5,0
91022024,4,24,1,3
91022033,2,18,1,1
92234065,2,14,1,1
91010055,2,14,1,1
91010037,2,14,1,3
91010022,1,11,0,1
92234063,-2,10,1,1
,,,,
92221003,5,39,5,0
92234002,6,38,4,2
92221021,5,35,4,1
92234007,3,35,3,0
92234013,3,27,2,1
92234040,5,25,2,3
92221032,5,19,2,3
92234025,5,17,3,2
92221027,2,16,2,0
92234006,-36,-36,0,0
,,,,
92026097,10,50,10,0
92029137,6,46,6,0
92026026,5,39,4,1
92026060,4,28,2,2
92026050,5,23,3,2
92026067,4,20,2,4
92029124,3,15,1,2
92029001,2,10,1,3
92029118,1,9,0,1
92034004,0,8,0,0
,,,,
92029158,7,39,5,2
92035036,6,34,5,1
92026030,4,34,4,0
92029139,4,28,3,1
92035012,1,27,1,0
92029072,3,27,1,2
92029038,3,15,0,3
92026054,4,12,0,4
92035037,4,12,0,6
92035031,-1,3,0,1
,,,,
91914015,4,36,4,0
92029051,8,32,6,2
92012010,5,31,5,0
92012018,4,22,3,1
92029076,3,17,2,1
92012020,2,14,2,0
92012002,0,10,0,0
92029107,1,5,0,1
92029126,1,3,0,1
,,,,
92014010,10,50,10,0
92012036,7,39,6,1
91919036,5,37,4,1
91920069,4,24,1,3
91914001,4,24,2,2
91914006,1,17,0,1
92012043,6,14,2,4
91914019,2,14,0,2
92012014,2,14,1,3
91914013,3,11,1,2
,,,,
91919019,6,36,5,1
91919005,4,32,2,2
91920079,2,30,2,0
91919025,4,28,1,3
91914030,4,28,1,3
91920055,3,25,2,1
91919061,3,19,1,2
91919049,2,18,0,2
91920079,5,13,1,4
91919011,4,12,0,4
,,,,
91932005,6,38,5,1
91932070,3,37,3,0
91932032,4,34,4,0
91932075,3,19,0,3
91920004,0,16,0,0
92029034,2,14,2,0
91932039,4,12,1,3
92029090,2,6,0,2
91932056,1,5,0,1
,,,,
91013049,7,39,5,2
92029040,6,34,5,1
91927051,3,33,2,1
91927018,0,20,0,0
91927003,2,18,1,1
91927067,0,16,0,0
91932041,0,12,1,1
91027057,4,12,1,3
91927026,2,12,1,1
91927068,1,7,0,1
,,,,
91920045,8,52,8,0
91920017,4,36,4,0
91920041,6,34,4,2
91933035,9,33,5,4
91920027,4,24,2,2
91920053,3,23,1,2
91932062,1,17,1,0
91920009,1,9,0,1
91920062,0,4,1,1
91932073,0,2,0,2
,,,,
91013072,8,44,7,1
91115058,6,42,6,0
91927022,7,31,3,4
91013042,4,28,3,1
91115002,5,25,4,1
91317031,4,20,2,2
91317029,2,18,3,1
91317033,-2,14,1,1
91317018,-1,7,2,1
91013021,-2,-2,0,2
,,,,
91725177,9,53,8,1
91317006,10,50,9,1
91725122,6,38,5,1
91725035,7,35,6,1
91725166,6,34,3,3
91317032,5,29,4,1
92131002,6,26,5,1
91317019,5,19,3,2
91317046,0,12,2,0
92131021,-36,-36,0,0
,,,,
91216042,3,35,3,0
91216055,7,35,6,1
92131051,6,34,3,3
91216055,7,31,3,4
92131003,6,28,3,3
92131018,2,28,2,0
92131044,4,20,1,3
92131023,2,14,0,2
91216035,-2,8,0,0
91216015,1,1,0,1
