,,,,
91933044,8,44,7,1
91920010,7,39,5,2
91933008,5,37,4,1
91920065,6,34,5,1
91933045,5,31,4,1
91933030,4,24,4,0
91920012,4,16,3,1
91933016,3,13,3,0
91933024,0,-32,0,0
,,,,
91932072,8,44,8,0
91932048,3,31,2,1
91932037,6,30,3,3
91927048,2,26,2,0
91920080,4,24,2,2
91932027,3,19,2,1
91932021,6,18,3,3
91932035,4,12,2,2
91927069,1,-3,0,1
,,,,
91919066,6,42,6,0
91920033,9,41,6,3
91932065,4,32,3,1
91932046,8,32,4,4
91932055,4,32,4,0
91932074,4,28,2,2
91920008,6,22,4,2
91920040,4,12,2,2
91920056,0,-32,0,0
,,,,
91914008,6,40,5,1
91914021,2,36,2,0
91914040,4,32,3,1
91914038,6,32,4,2
91914014,5,25,3,2
91914012,4,22,3,1
91919034,4,20,3,1
91919017,3,17,2,1
91919053,0,-32,0,0
,,,,
91920052,10,58,9,1
91920044,12,52,10,2
91920021,9,49,7,2
91920039,7,47,6,1
91933003,7,35,5,2
91933017,7,29,6,1
91920051,5,27,4,1
91933020,5,23,4,1
91933047,1,-35,1,0
91933014,1,-35,1,0
,,,,
91927017,10,58,10,0
91927083,9,57,9,0
91927081,11,57,9,2
91932013,8,50,8,0
91927031,10,42,8,2
91932051,8,36,7,1
91927071,7,27,7,0
91932034,2,-34,2,0
91927029,2,-34,2,0
91932061,2,-34,2,0
,,,,
91932024,8,56,8,0
91932028,6,48,6,0
91919016,7,39,7,0
91919060,6,38,5,1
91932019,5,35,5,0
91919052,8,34,5,3
91920074,6,30,5,1
91932064,9,29,5,4
91932050,1,-35,1,0
91932030,1,-35,1,0
,,,,
91919009,11,57,10,1
91919003,10,54,8,2
91914037,10,52,10,0
91919048,8,44,7,1
91919063,7,43,7,0
91914004,8,40,7,1
91920047,8,32,6,2
91914026,2,-34,2,0
91914005,2,-34,2,0
91919051,2,-34,2,0
