,,,,
2029051,4,28,3,1
1914015,1,25,0,1
2012010,4,24,3,1
2029076,4,20,2,2
2012020,3,19,3,0
2012018,5,17,2,3
2012002,3,11,0,3
2029126,4,8,0,4
2029107,1,5,0,1
,,,,
2012036,5,29,2,3
2014010,4,28,1,3
1914001,4,26,1,3
1914013,2,24,1,1
1920069,3,21,0,3
1914006,1,21,0,1
2012043,4,20,1,3
1919036,2,14,0,2
2012014,2,10,0,2
1914019,3,9,0,3
,,,,
1919019,7,35,5,2
1919061,0,26,0,0
1919005,1,23,0,1
1914030,2,22,0,2
1920055,2,22,1,1
1919025,1,21,1,0
1919011,5,21,1,4
1919049,3,11,0,3
1919007,2,10,0,2
1920079,3,3,0,3
,,,,
1932032,3,35,3,0
1932070,2,30,1,1
1932005,3,23,0,3
1932039,3,19,1,2
2029034,1,17,1,0
1932075,4,16,2,2
1920004,5,9,1,4
2029090,1,7,0,1
1932056,1,3,0,1
,,,,
1013049,8,36,6,2
1927051,4,32,3,1
2029040,4,32,3,1
1927003,3,27,0,3
1932041,4,24,2,2
1027057,2,14,1,1
1927018,5,13,1,4
1927067,2,10,0,2
1927068,0,8,0,0
1927026,3,7,1,2
,,,,
1920017,5,37,4,1
1932062,6,34,5,1
1920045,6,34,4,2
1920041,4,20,1,3
1932073,3,19,1,2
1920027,6,18,2,4
1920062,1,17,0,1
1933035,2,14,1,1
1920053,1,13,0,1
1920009,3,7,1,2
,,,,
1317031,9,33,6,3
1115058,4,32,2,2
1013072,3,31,2,1
1013042,2,30,1,1
1115002,7,23,4,3
1927022,2,18,2,0
1317029,3,15,0,3
1317018,1,13,1,0
1013021,2,10,0,2
1317033,0,4,0,0
,,,,
1317006,3,39,3,0
1725177,5,29,4,1
1725166,1,25,0,1
1725122,6,24,3,3
1725035,4,20,3,1
1317019,1,19,0,1
1317032,3,19,1,2
1317046,4,16,2,2
2131002,1,13,0,1
2131021,2,6,0,2
,,,,
1216055,6,38,5,1
1216042,7,35,6,1
2131044,4,32,2,2
2131023,3,27,2,1
2131051,4,22,2,2
2131018,4,22,2,2
2131003,4,20,1,3
1216002,3,15,2,1
1216015,1,5,0,1
1216035,1,1,0,1
